station,line_names,division,borough,subregion
NORWOOD AVE,JZ,BMT,Brooklyn,
NORWOOD-205 ST,D,IND,Bronx,
NOSTRAND AV,3,IRT,Brooklyn,
NOSTRAND AV,AC,IND,Brooklyn,
NOSTRAND AVE,3,IRT,Brooklyn,
NOSTRAND AVE,AC,IND,Brooklyn,
OCEAN PARKWAY,Q,BMT,Brooklyn,
OCEAN PKWY,Q,BMT,Brooklyn,
ORCHARD BEACH,6,IND,Bronx,
OXFORD-104 ST,A,IND,Queens,
OZONE PK LEFFRT,A,IND,Queens,
PARK PLACE,23ACE,IRT,Manhattan,Below Canal
PARK PLACE,S,BMT,Brooklyn,
PARKCHESTER,6,IRT,Bronx,
PARKSIDE AV,BQ,BMT,Brooklyn,
PARKSIDE AVE,BQ,BMT,Brooklyn,
PARSONS BLVD,F,IND,Queens,
PATH NEW WTC,1,PTH,Manhattan,Below Canal
PATH WTC,1,PTH,Manhattan,Below Canal
PATH WTC 2,1,PTH,Manhattan,Below Canal
PAVONIA/NEWPORT,1,PTH,New Jersey,
PELHAM BAY PARK,6,IRT,Bronx,
PELHAM PARKWAY,25,IRT,Bronx,
PELHAM PARKWAY,5,IRT,Bronx,
PELHAM PKWY,25,IRT,Bronx,
PELHAM PKWY,5,IRT,Bronx,
PENNSYLVANIA AV,3,IRT,Brooklyn,
PRESIDENT ST,25,IRT,Brooklyn,
PRINCE ST,NR,BMT,Manhattan,Canal to 14
PRINCE ST,NRW,BMT,Manhattan,Canal to 14
PRINCE ST-B'WAY,NR,BMT,Manhattan,Canal to 14
PROSPECT AV,25,IRT,Bronx,
PROSPECT AV,R,BMT,Brooklyn,
PROSPECT AVE,25,IRT,Bronx,
PROSPECT AVE,R,BMT,Brooklyn,
PROSPECT PARK,BQS,BMT,Brooklyn,
QUEENS PLAZA,EMR,IND,Queens,
QUEENSBORO PLZ,7NQ,IRT,Queens,
QUEENSBORO PLZ,7NQW,IRT,Queens,
RALPH AV,C,IND,Brooklyn,
RALPH AVE,C,IND,Brooklyn,
RECTOR ST,1,IRT,Manhattan,Below Canal
RECTOR ST,NRW,BMT,Manhattan,Below Canal
RECTOR ST,R,BMT,Manhattan,Below Canal
RIT-MANHATTAN,R,RIT,Manhattan,60 to 110
RIT-ROOSEVELT,R,RIT,Manhattan,60 to 110
ROCKAWAY AV,3,IRT,Brooklyn,
ROCKAWAY AV,C,IND,Queens,
ROCKAWAY AVE,3,IRT,Brooklyn,
ROCKAWAY AVE,C,IND,Queens,
ROCKAWAY BLVD,A,IND,Queens,
ROCKAWAY PARK B,AS,IND,Queens,
ROCKAWAY PK 116,AS,IND,Queens,
ROCKAWAY PKY,L,BMT,Brooklyn,
ROOSEVELT AVE,EFMR7,IND,Queens,
ROOSEVELT IS,F,IND,Manhattan,60 to 110
ROOSEVELT ISLND,F,IND,Manhattan,60 to 110
SARATOGA AV,3,IRT,Brooklyn,
SARATOGA AVE,3,IRT,Brooklyn,
SENECA AVE,M,BMT,Queens,
SHEEPSHEAD BAY,BQ,BMT,Brooklyn,
SHEPHERD AV,C,IND,Brooklyn,
SHEPHERD AVE,C,IND,Brooklyn,
SIMPSON ST,25,IRT,Bronx,
SMITH-9 ST,FG,IND,Brooklyn,
SOUTH FERRY,1R,IRT,Manhattan,Below Canal
SOUTH FERRY,1RW,IRT,Manhattan,Below Canal
SPRING ST,6,IRT,Manhattan,Canal to 14
SPRING ST,CE,IND,Manhattan,Canal to 14
ST LAWRENCE AV,6,IRT,Bronx,
ST LAWRENCE AVE,6,IRT,Bronx,
ST. GEORGE,1,SRT,Staten Island,
STEINWAY ST,MR,IND,Queens,
STERLING ST,25,IRT,Brooklyn,
STILLWELL AVE,DFNQ,BMT,Brooklyn,
SUTPHIN BLVD,EJZ,IND,Queens,
SUTPHIN BLVD,F,IND,Queens,
SUTPHIN-ARCHER,E,IND,Queens,
SUTPHIN-ARCHER,EJZ,IND,Queens,
SUTTER AV,L,BMT,Brooklyn,
SUTTER AV-RUTLD,3,IRT,Brooklyn,
SUTTER AVE,3,IRT,Brooklyn,
SUTTER AVE,L,BMT,Brooklyn,
THIRTY ST,1,PTH,Manhattan,14 to 42
THIRTY THIRD ST,1,PTH,Manhattan,14 to 42
TIMES SQ-42 ST,1237ACENQRS,IRT,Manhattan,42 to 60
TIMES SQ-42 ST,1237ACENQRSW,IRT,Manhattan,42 to 60
TIMES SQ-42 ST,ACENQRS1237,BMT,Manhattan,42 to 60
TIMES SQ-42 ST,ACENQRS1237W,BMT,Manhattan,42 to 60
TOMPKINSVILLE,1,SRT,Staten Island,
TREMONT AV,BD,IND,Bronx,
TREMONT AVE,BD,IND,Bronx,
TWENTY THIRD ST,1,PTH,Manhattan,14 to 42
UNION ST,R,BMT,Brooklyn,
UNION TPK-KEW G,EF,IND,Queens,
UTICA AV,AC,IND,Brooklyn,
UTICA AVE,AC,IND,Brooklyn,
V.CORTLANDT PK,1,IRT,Bronx,
VAN ALSTON-21ST,G,IND,Queens,
VAN SICLEN AV,3,IRT,Brooklyn,
VAN SICLEN AV,JZ,BMT,Brooklyn,
VAN SICLEN AVE,3,IRT,Brooklyn,
VAN SICLEN AVE,C,IND,Brooklyn,
VAN SICLEN AVE,JZ,BMT,Brooklyn,
VAN WYCK BLVD,EF,IND,Queens,
VERNON-JACKSON,7,IRT,Queens,
VERNON/JACKSON,7,IRT,Queens,
W 4 ST-WASH SQ,ABCDEFM,IND,Manhattan,Canal to 14
W 8 ST-AQUARIUM,FQ,BMT,Brooklyn,
WAKEFIELD-241,2,IRT,Bronx,
WAKEFIELD/241,2,IRT,Bronx,
WALL ST,23,IRT,Manhattan,Below Canal
WALL ST,45,IRT,Manhattan,Below Canal
WASHINGTON-36 A,NQ,BMT,Queens,
WEST FARMS SQ,25,IRT,Bronx,
WESTCHESTER SQ,6,IRT,Bronx,
WHITEHALL S-FRY,R1,BMT,Manhattan,Below Canal
WHITEHALL S-FRY,R1W,BMT,Manhattan,Below Canal
WHITEHALL ST,R1,BMT,Manhattan,Below Canal
WHITLOCK AV,6,IRT,Bronx,
WHITLOCK AVE,6,IRT,Bronx,
WILSON AV,L,BMT,Brooklyn,
WILSON AVE,L,BMT,Brooklyn,
WINTHROP ST,25,IRT,Brooklyn,
WOODHAVEN BLVD,JZ,BMT,Queens,
WOODHAVEN BLVD,MR,IND,Queens,
WOODLAWN,4,IRT,Bronx,
WOODLAWN ROAD,4,IRT,Bronx,
WORLD TRADE CTR,ACE23,IND,Manhattan,Below Canal
WTC-CORTLANDT,1,IRT,Manhattan,Below Canal
YORK ST,F,IND,Brooklyn,
ZEREGA AV,6,IRT,Bronx,
ZEREGA AVE,6,IRT,Bronx,
